opportunity_id,account_name,segment,region,product,lead_source,owner,created_date,close_date,stage,amount,sales_cycle_days,close_date_pushed,loss_reason,lost_at_stage,is_won,is_closed
OPP-102159,Vantage Systems,Mid-Market,APAC,Platform Core,Partner Referral,Ethan Sharma,2023-01-01,2023-03-29,Closed Won,30000.0,87,False,,,True,True
OPP-105578,Pinnacle Retail Group,SMB,AMER,Security Suite,Partner Referral,Zara Ito,2023-01-02,2023-02-20,Closed Won,8000.0,49,False,,,True,True
OPP-100764,Apex Manufacturing,Mid-Market,EMEA,Platform Core,Outbound - SDR,Ines Osei,2023-01-02,2023-05-06,Closed Won,23500.0,124,False,,,True,True
OPP-104440,Blue Harbor Retail Group,SMB,APAC,Platform Core,Customer Expansion,Marco Silva,2023-01-02,2023-02-07,Closed Lost,9000.0,36,False,Price,Qualification,False,True
OPP-100812,Vantage Insurance,SMB,AMER,Analytics Add-on,Partner Referral,Tomas Haas,2023-01-03,2023-01-18,Closed Lost,22000.0,15,False,Price,Qualification,False,True
OPP-104675,Vantage Financial,SMB,EMEA,Platform Core,Partner Referral,Ines Osei,2023-01-03,2023-02-07,Closed Won,19000.0,35,False,,,True,True
OPP-101059,Lumen Health,SMB,AMER,Platform Core,Customer Expansion,Liam Petrov,2023-01-04,2023-02-07,Closed Lost,6000.0,34,False,No Decision / Stalled,Qualification,False,True
OPP-105196,Falcon Health,Mid-Market,EMEA,Security Suite,Inbound - Website,Jonas Keller,2023-01-04,2023-04-19,Closed Lost,18500.0,105,False,Missing Features,Qualification,False,True
OPP-103111,Pinnacle Logistics,Enterprise,EMEA,API Enterprise,Event / Conference,Maya Novak,2023-01-05,2023-12-08,Closed Won,146500.0,337,False,,,True,True
OPP-102438,Granite Health,Enterprise,AMER,API Enterprise,Outbound - SDR,Liam Petrov,2023-01-05,2023-05-18,Closed Lost,101000.0,133,False,Missing Features,Prospecting,False,True
OPP-101506,Northwind Technologies,SMB,AMER,Security Suite,Partner Referral,Noah Bianchi,2023-01-06,2023-02-06,Closed Lost,18000.0,31,False,No Decision / Stalled,Negotiation,False,True
OPP-103744,Cascade Financial,Enterprise,EMEA,Platform Core,Inbound - Website,Ruth Okafor,2023-01-06,2023-03-27,Closed Lost,92500.0,80,False,Missing Features,Proposal,False,True
OPP-103652,Vantage Technologies,Enterprise,APAC,Analytics Add-on,Inbound - Website,Marco Silva,2023-01-06,2023-07-04,Closed Lost,162500.0,179,False,No Decision / Stalled,Qualification,False,True
OPP-103928,Falcon Robotics,SMB,EMEA,Security Suite,Inbound - Website,Ruth Okafor,2023-01-06,2023-02-12,Closed Lost,10000.0,37,False,Chose Competitor,Prospecting,False,True
OPP-102765,Orion Financial,SMB,AMER,Security Suite,Inbound - Website,Derek Wolf,2023-01-07,2023-02-03,Closed Lost,6000.0,27,False,Chose Competitor,Prospecting,False,True
OPP-100860,Sterling Consulting,SMB,AMER,Platform Core,Inbound - Website,Nadia Vanags,2023-01-07,2023-03-10,Closed Lost,21000.0,62,False,Missing Features,Proposal,False,True
OPP-104665,Solstice Robotics,SMB,AMER,API Enterprise,Outbound - SDR,Noah Bianchi,2023-01-07,2023-02-01,Closed Won,37500.0,25,False,,,True,True
OPP-102396,Orion Retail Group,Mid-Market,EMEA,Security Suite,Outbound - SDR,Ava Larsen,2023-01-08,2023-03-25,Closed Lost,66000.0,76,False,Chose Competitor,Qualification,False,True
OPP-105750,Granite Health,SMB,AMER,Analytics Add-on,Customer Expansion,Sofia Moreau,2023-01-08,2023-02-12,Closed Won,8000.0,35,False,,,True,True
OPP-101359,Cascade Consulting,Mid-Market,APAC,API Enterprise,Outbound - SDR,Marco Silva,2023-01-09,2023-04-09,Closed Won,37500.0,90,False,,,True,True
OPP-104169,Nimbus Technologies,Mid-Market,AMER,Security Suite,Customer Expansion,Tomas Haas,2023-01-09,2023-04-16,Closed Lost,77500.0,97,False,Chose Competitor,Prospecting,False,True
OPP-103439,Pinnacle Foods,SMB,AMER,Security Suite,Event / Conference,Noah Bianchi,2023-01-09,2023-01-27,Closed Won,10500.0,18,False,,,True,True
OPP-100618,Summit Energy,SMB,AMER,Analytics Add-on,Customer Expansion,Zara Ito,2023-01-10,2023-02-15,Closed Lost,17000.0,36,False,Chose Competitor,Prospecting,False,True
